geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL,subgroep,sample,sd
Groningen,Totaal,Zonder migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,2767,0.903492885405252,81.1033473922362,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,2764,0.615050651230101,104.091424337003,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,2764,0.615050651230101,158.008272114022,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,0% - 20%,c00_infant_mortality,2536,1.06466876971609,38.9922640790716,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,20% - 40%,c00_infant_mortality,2536,0.82807570977918,65.3400586057214,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,40% - 60%,c00_infant_mortality,2535,0.788892709594789,84.7009625758182,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,60% - 80%,c00_infant_mortality,2532,0.631911532385466,106.971849887398,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,80% - 100%,c00_infant_mortality,2532,0.631911532385466,160.721104887098,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,0% - 20%,c00_infant_mortality,2000,1.15,27.1620619319388,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,20% - 40%,c00_infant_mortality,2000,0.8,50.950759978351,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,40% - 60%,c00_infant_mortality,1998,0.650801603206413,73.791408192399,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,60% - 80%,c00_infant_mortality,1996,0.801603206412826,98.5843410556493,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,80% - 100%,c00_infant_mortality,1996,0.601202404809619,156.443915724626,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,1744,0.745412844036697,33.2749174764651,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,1742,0.803543182537172,59.1348821129183,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,1740,0.919540229885057,80.0360137833517,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,1740,0.632183908045977,103.741936661669,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,1740,0.632183908045977,161.636579088957,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Totaal,0% - 20%,c00_infant_mortality,1924,1.03950103950104,27.5762736198129,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Totaal,20% - 40%,c00_infant_mortality,1924,0.831600831600832,52.0758310361528,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Totaal,40% - 60%,c00_infant_mortality,1924,0.77962577962578,74.099945653882,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Totaal,60% - 80%,c00_infant_mortality,1924,0.51975051975052,97.7279160857433,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Totaal,80% - 100%,c00_infant_mortality,1920,0.729166666666667,153.443100682793,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,1692,1.24113475177305,33.5976155928025,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,1690,0.710340268674442,59.9388555168589,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,1688,0.651658767772512,79.7401858953666,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,1688,0.651658767772512,102.231439728922,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Vrouwen,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,1688,0.651658767772512,157.693420526989,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,4272,0.561797752808989,28.2166343995392,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,4272,0.795880149812734,51.5589048966301,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,4272,0.725655430711611,70.9230813106295,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,4268,0.84348641049672,90.4464486076664,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,4268,0.445173383317713,135.514581218411,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3568,0.476457399103139,35.4414124477012,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3568,0.924887892376682,60.0546100995536,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3568,0.70067264573991,76.8506542739785,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3567,0.869085725214275,95.2245363425954,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3564,0.39281705948372603,140.407527086827,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,2404,0.582362728785358,24.4680475261335,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,2404,0.707154742096506,42.395048863245,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,2404,0.915141430948419,61.7436021376494,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,2404,0.62396006655574,82.4977433843022,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,2400,0.458333333333333,127.297630632494,Totaal,5,Zuigelingensterfte,NA,NA,NA
Leeuwarden,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,2220,0.990990990990991,26.7784959559188,Totaal,5,Zuigelingensterfte,NA,NA,NA
Leeuwarden,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,2220,1.08108108108108,48.1227041161216,Totaal,5,Zuigelingensterfte,NA,NA,NA
Leeuwarden,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,2220,0.900900900900901,66.3208592702277,Totaal,5,Zuigelingensterfte,NA,NA,NA
Leeuwarden,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,2220,0.495495495495495,84.8845101512542,Totaal,5,Zuigelingensterfte,NA,NA,NA
Leeuwarden,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,2218,0.901795297102156,127.239398917381,Totaal,5,Zuigelingensterfte,NA,NA,NA
Enschede,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,2792,1.03868194842407,27.2797060552761,Totaal,5,Zuigelingensterfte,NA,NA,NA
Enschede,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,2792,0.716332378223496,47.1894255809991,Totaal,5,Zuigelingensterfte,NA,NA,NA
Enschede,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,2792,0.465616045845272,64.1435640957584,Totaal,5,Zuigelingensterfte,NA,NA,NA
Enschede,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,2790,0.43015913472804,83.0635462271414,Totaal,5,Zuigelingensterfte,NA,NA,NA
Enschede,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,2788,0.609756097560976,127.408336046305,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,2840,0.915492957746479,33.2960856313541,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,2840,0.704225352112676,59.9027172491238,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,2836,0.599435825105783,78.1386618060216,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,2836,0.564174894217207,97.1862132444726,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,2836,0.493653032440056,144.109391108283,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,2644,0.794251134644478,38.4218999004048,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,2644,0.529500756429652,63.5634642282178,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,2644,0.529500756429652,80.7133388032194,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,2643,0.605258332187228,99.1781090641527,Totaal,5,Zuigelingensterfte,NA,NA,NA
Zwolle,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,2640,0.492424242424242,146.317222261881,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,2660,0.977443609022556,34.9851577808627,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,2660,0.488721804511278,60.2963180231908,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,2660,0.864661654135338,76.8759204139503,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,2658,0.564249479119485,95.7044345896805,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,2656,0.865963855421687,145.982779228497,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,2476,0.969305331179321,40.0894563877292,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,2472,0.485436893203883,63.4773714629263,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,2472,0.889967637540453,79.2007311707341,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,2472,0.566343042071197,97.7089969343144,Totaal,5,Zuigelingensterfte,NA,NA,NA
Apeldoorn,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,2472,0.93042071197411,147.958307502074,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,3020,0.960264900662252,30.9908922738508,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,3020,0.529801324503311,57.533329959424,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,3020,0.562913907284768,79.352561047612,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,3020,0.529801324503311,102.602215202087,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,3020,0.463576158940397,157.927654933387,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,2717,0.699287446937538,36.6610390952909,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,2716,0.625920471281296,63.5901935460028,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,2716,0.625920471281296,83.9164793482225,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,2716,0.478645066273932,106.151128313047,Totaal,5,Zuigelingensterfte,NA,NA,NA
Nijmegen,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,2716,0.441826215022091,161.772930044315,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,3384,0.768321513002364,37.0234742366769,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,3384,0.67966903073286,65.7380896740301,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,3383,0.473023067131087,85.6045245331035,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,3380,0.443786982248521,107.331051541099,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,3380,0.325443786982249,162.709786579657,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3168,0.883838383838384,42.2036549993797,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3168,0.536616161616162,69.4131136070338,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3168,0.505050505050505,88.1633705032396,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3164,0.442477876106195,109.542687969332,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amersfoort,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3164,0.347661188369153,164.979742666986,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,8436,0.699383594120436,34.8106776932691,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,8436,0.651967757230915,66.7053062474092,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,8433,0.569175612244623,93.4516921502493,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,8432,0.699715370018975,122.429214314821,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,8432,0.438804554079696,187.87675904641,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,7792,0.705852156057495,39.8028160383616,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,7789,0.629093988645724,71.7961363293649,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,7788,0.603492552645095,97.5321550553902,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,7788,0.667693888032871,125.602675258745,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,7788,0.436569080636877,191.090126208136,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,4964,0.584206285253828,50.5993174275091,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,4964,0.543916196615633,85.0839070194569,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,4964,0.72522159548751,108.697528904165,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,4960,0.504032258064516,135.084303211528,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,4960,0.403225806451613,201.025683228457,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Tweeoudergezin,0% - 20%,c00_infant_mortality,4692,0.532821824381927,55.8370037034474,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Tweeoudergezin,20% - 40%,c00_infant_mortality,4692,0.532821824381927,88.3673911263522,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Tweeoudergezin,40% - 60%,c00_infant_mortality,4692,0.703324808184143,111.109814027473,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Tweeoudergezin,60% - 80%,c00_infant_mortality,4691,0.468974130682099,137.052546970614,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Zonder migratieachtergrond,Tweeoudergezin,80% - 100%,c00_infant_mortality,4688,0.426621160409556,203.209218963191,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,3472,0.892857142857143,26.5784926802635,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,3472,0.576036866359447,46.8338923482609,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,3472,0.633640552995392,68.0874115490204,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,3472,0.720046082949309,95.9084217711728,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,3469,0.663007138339207,160.42193428984,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Tweeoudergezin,0% - 20%,c00_infant_mortality,3100,0.903225806451613,30.0751559454549,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Tweeoudergezin,20% - 40%,c00_infant_mortality,3100,0.516129032258065,51.7649530105067,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Tweeoudergezin,40% - 60%,c00_infant_mortality,3098,0.742352254730349,72.9098285491116,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Tweeoudergezin,60% - 80%,c00_infant_mortality,3096,0.839793281653747,100.581645191132,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Totaal,Wel migratieachtergrond,Tweeoudergezin,80% - 100%,c00_infant_mortality,3096,0.613695090439277,165.015665801002,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Totaal,0% - 20%,c00_infant_mortality,4312,0.695732838589981,34.8072639980264,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Totaal,20% - 40%,c00_infant_mortality,4312,0.718923933209648,66.9090299310036,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Totaal,40% - 60%,c00_infant_mortality,4312,0.417439703153989,94.0180382704307,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Totaal,60% - 80%,c00_infant_mortality,4312,0.463821892393321,123.02951931935,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Totaal,80% - 100%,c00_infant_mortality,4312,0.440630797773655,188.77928076476,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3988,0.777331995987964,39.6935285962992,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3987,0.702232198603844,72.0743921819056,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3984,0.426706827309237,98.0808680267124,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3984,0.476907630522088,126.183533505227,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Mannen,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3984,0.451807228915663,192.080456805567,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Totaal,0% - 20%,c00_infant_mortality,4124,0.703200775945684,34.8148472783072,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Totaal,20% - 40%,c00_infant_mortality,4124,0.5819592628516,66.4965516676872,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Totaal,40% - 60%,c00_infant_mortality,4121,0.752191764052245,92.8682438038126,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Totaal,60% - 80%,c00_infant_mortality,4120,0.922330097087379,121.810832426701,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Totaal,80% - 100%,c00_infant_mortality,4120,0.436893203883495,186.908244197351,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3804,0.630914826498423,39.917391216668896,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3804,0.55205047318612,71.5186915738457,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3804,0.788643533123028,96.9741047786496,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3804,0.867507886435331,125.024639117626,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3802,0.420831257955615,190.071804445468,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Zonder migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,2424,0.66006600660066,50.6369662101241,Totaal,5,Zuigelingensterfte,NA,NA,NA
Utrecht,Vrouwen,Zonder migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,2424,0.577557755775578,84.5856771473568,Totaal,5,Zuigelingensterfte,NA,NA,NA
